PLAYER_NAME,AGE,TEAM_ABBREVIATION,POS,GP,MPG,FGPG,FGAPG,FG_PCT,FG3PG,FG3APG,FG3_PCT,FTPG,FTAPG,FT_PCT,ORPG,DRPG,RPG,APG,SPG,BPG,TPG,PPG,PFPG,FPPG,DD2,TD3
A.J. Lawson,24.0,TOR,Guard,26,18.7,3.1,7.3,0.421,1.3,3.9,0.327,1.7,2.4,0.683,0.8,2.5,3.3,1.2,0.5,0.2,0.6,9.1,1.7,16.4,2,0
AJ Green,25.0,MIL,Guard,73,22.7,2.5,5.8,0.429,2.1,5.0,0.427,0.3,0.4,0.815,0.2,2.1,2.4,1.5,0.5,0.1,0.5,7.4,2.2,13.8,0,0
AJ Johnson,20.0,WAS,Guard,29,22.0,2.8,7.3,0.385,0.8,3.1,0.267,1.1,1.3,0.865,0.3,1.8,2.0,2.6,0.4,0.1,1.2,7.6,1.7,14.3,0,0
Aaron Gordon,29.0,DEN,Forward,51,28.4,5.2,9.7,0.531,1.5,3.4,0.436,2.8,3.5,0.81,1.6,3.3,4.8,3.2,0.5,0.3,1.4,14.7,1.6,26.0,3,0
Aaron Holiday,28.0,HOU,Guard,62,12.8,1.9,4.3,0.437,1.2,2.9,0.398,0.5,0.7,0.829,0.2,1.0,1.3,1.3,0.3,0.2,0.6,5.5,1.0,9.9,0,0
Aaron Nesmith,25.0,IND,Guard-Forward,45,24.9,4.3,8.4,0.507,1.9,4.3,0.431,1.6,1.8,0.913,0.8,3.1,4.0,1.2,0.8,0.4,0.8,12.0,2.5,21.2,0,0
Aaron Wiggins,26.0,OKC,Guard,76,22.9,4.7,9.6,0.488,1.7,4.5,0.383,1.0,1.2,0.831,1.1,2.8,3.9,1.8,0.8,0.2,0.9,12.0,1.3,21.5,2,0
Adam Flagler,25.0,OKC,Guard,37,5.5,0.7,2.6,0.26,0.4,1.9,0.194,0.0,0.1,0.5,0.2,0.5,0.7,0.3,0.2,0.1,0.1,1.8,0.4,3.9,0,0
Adama Sanogo,23.0,CHI,Forward,4,5.4,1.0,1.8,0.571,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.2,1.5,0.2,0.0,0.0,0.2,2.0,0.2,3.9,0,0
Adem Bona,22.0,PHI,Forward,58,15.6,2.3,3.3,0.703,0.0,0.0,0.0,1.2,1.7,0.67,1.6,2.6,4.2,0.5,0.4,1.2,1.1,5.8,2.2,15.4,3,0
Ajay Mitchell,23.0,OKC,Guard,36,16.6,2.5,5.1,0.495,0.6,1.7,0.383,0.8,1.0,0.829,0.5,1.4,1.9,1.8,0.7,0.1,0.8,6.5,1.9,13.0,1,0
Al Horford,39.0,BOS,Center-Forward,60,27.6,3.2,7.7,0.423,1.9,5.2,0.363,0.6,0.6,0.895,1.3,4.8,6.2,2.1,0.6,0.8,0.8,9.0,1.4,23.1,7,0
Alec Burks,33.0,MIA,Guard,49,17.6,2.3,5.5,0.424,1.8,4.2,0.425,0.8,1.0,0.776,0.3,2.2,2.5,1.1,0.6,0.1,0.6,7.3,0.8,13.5,0,0
Alex Caruso,31.0,OKC,Guard,54,19.3,2.6,5.8,0.446,1.1,3.1,0.353,0.8,0.9,0.824,0.7,2.2,2.9,2.5,1.6,0.6,0.7,7.1,1.9,20.2,0,0
Alex Ducas,24.0,OKC,Guard,21,6.0,0.6,1.4,0.4,0.5,1.0,0.476,0.1,0.1,1.0,0.4,0.8,1.2,0.2,0.2,0.0,0.2,1.7,0.6,4.1,0,0
Alex Len,32.0,LAL,Center,46,8.3,0.7,1.4,0.508,0.0,0.2,0.222,0.2,0.4,0.471,0.8,1.2,2.1,0.8,0.2,0.5,0.4,1.6,1.2,6.8,0,0
Alex Reese,26.0,PHI,Forward-Center,15,14.4,1.7,3.6,0.481,1.0,2.7,0.366,0.6,0.8,0.75,0.6,2.5,3.1,0.3,0.7,0.7,0.4,5.1,1.4,12.8,0,0
Alex Sarr,20.0,WAS,Center,67,27.1,4.9,12.4,0.394,1.6,5.1,0.308,1.7,2.5,0.679,1.9,4.6,6.5,2.4,0.7,1.5,1.7,13.0,2.2,29.2,10,0
Alondes Williams,26.0,DET,Guard,1,3.7,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,6.5,0,0
Alperen Sengun,22.0,HOU,Center,76,31.5,7.5,15.0,0.496,0.3,1.2,0.233,3.9,5.6,0.692,3.4,6.9,10.3,4.9,1.1,0.8,2.6,19.1,2.8,42.0,45,4
Amen Thompson,22.0,HOU,Guard-Forward,69,32.3,5.6,10.1,0.557,0.4,1.3,0.275,2.4,3.6,0.684,2.8,5.4,8.2,3.8,1.4,1.3,2.0,14.1,2.4,35.7,21,3
Amir Coffey,28.0,LAC,Guard-Forward,72,24.3,3.3,7.1,0.471,1.4,3.4,0.409,1.6,1.8,0.891,0.4,1.8,2.2,1.1,0.6,0.1,0.6,9.7,1.7,15.3,0,0
Andre Drummond,31.0,PHI,Center,40,18.8,2.9,5.8,0.5,0.1,0.5,0.15,1.4,2.2,0.622,2.7,5.0,7.8,0.8,1.0,0.4,1.4,7.3,2.4,20.8,5,0
Andre Jackson Jr.,23.0,MIL,Guard,67,14.6,1.4,2.9,0.477,0.4,1.1,0.395,0.2,0.4,0.5,1.0,1.7,2.7,1.2,0.5,0.2,0.9,3.4,1.7,9.8,0,0
Andrew Nembhard,25.0,IND,Guard-Forward,65,28.9,3.8,8.3,0.458,0.8,2.7,0.291,1.7,2.1,0.794,0.5,2.8,3.3,5.0,1.2,0.2,1.7,10.0,2.3,24.0,2,0
Andrew Wiggins,30.0,MIA,Forward,60,30.7,6.3,14.0,0.448,2.2,5.8,0.374,3.3,4.3,0.763,1.5,3.0,4.5,2.6,1.0,0.8,1.6,18.0,1.7,31.1,3,0
Anfernee Simons,26.0,POR,Guard,70,32.7,6.8,16.1,0.426,3.1,8.5,0.363,2.5,2.8,0.902,0.4,2.3,2.7,4.8,0.9,0.1,2.0,19.3,1.7,30.5,2,0
Anthony Black,21.0,ORL,Guard,78,24.2,3.4,7.9,0.423,0.8,2.5,0.318,1.9,2.5,0.761,0.7,2.3,2.9,3.1,1.1,0.6,1.8,9.4,2.1,21.0,1,0
Anthony Davis,32.0,DAL,Forward-Center,51,33.4,9.2,17.8,0.516,0.7,2.4,0.282,5.6,7.2,0.775,2.6,8.9,11.6,3.5,1.2,2.2,2.2,24.7,1.9,51.7,36,1
Anthony Edwards,23.0,MIN,Guard,79,36.3,9.1,20.4,0.447,4.1,10.3,0.395,5.3,6.3,0.837,0.8,4.9,5.7,4.5,1.2,0.6,3.2,27.6,1.9,43.4,7,0
Anthony Gill,32.0,WAS,Forward,51,7.8,0.8,1.7,0.489,0.2,0.6,0.323,0.6,1.0,0.66,0.4,0.9,1.3,0.3,0.2,0.0,0.2,2.5,0.6,5.0,0,0
Anton Watson,24.0,NYK,Forward,9,2.5,0.4,1.0,0.444,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.2,0.3,0.2,0.1,0.0,0.2,0.9,0.3,1.7,0,0
Antonio Reeves,24.0,NOP,Guard,44,15.0,2.6,5.6,0.456,1.2,2.9,0.395,0.6,0.8,0.8,0.4,1.0,1.4,0.9,0.5,0.1,0.7,6.9,0.9,11.0,0,0
Ariel Hukporti,23.0,NYK,Center,25,8.7,0.8,1.2,0.677,0.0,0.0,0.0,0.2,0.5,0.462,0.6,1.5,2.0,0.4,0.0,0.6,0.8,1.9,1.3,6.1,0,0
Armel Traore,22.0,LAL,Forward,9,7.4,0.7,2.1,0.316,0.0,0.8,0.0,0.2,0.8,0.286,0.2,1.4,1.7,0.1,0.4,0.2,0.3,1.6,0.7,5.4,0,0
Ausar Thompson,22.0,DET,Guard-Forward,59,22.5,4.2,7.8,0.535,0.2,0.8,0.224,1.5,2.4,0.641,1.9,3.3,5.1,2.3,1.7,0.7,1.4,10.1,2.8,25.3,3,0
Austin Reaves,27.0,LAL,Guard,73,34.9,6.5,14.2,0.46,2.7,7.3,0.377,4.4,5.0,0.877,0.8,3.7,4.5,5.8,1.1,0.3,2.4,20.2,2.1,36.1,9,1
Ayo Dosunmu,25.0,CHI,Guard,46,30.3,4.8,9.8,0.492,1.3,4.1,0.328,1.3,1.7,0.785,0.6,2.9,3.5,4.5,0.9,0.4,1.5,12.3,2.3,25.8,1,1
Bam Adebayo,27.0,MIA,Center-Forward,78,34.3,6.9,14.3,0.485,1.0,2.8,0.357,3.2,4.2,0.765,2.4,7.2,9.6,4.3,1.3,0.7,2.1,18.1,2.1,39.8,38,1
Baylor Scheierman,24.0,BOS,Guard,31,12.4,1.3,3.5,0.355,0.8,2.6,0.317,0.3,0.4,0.75,0.6,1.5,2.1,1.1,0.5,0.1,0.4,3.6,0.7,9.2,0,0
Ben Sheppard,23.0,IND,Guard,63,19.5,1.9,4.6,0.418,1.1,3.2,0.342,0.4,0.4,0.889,0.7,2.1,2.8,1.3,0.6,0.2,0.3,5.3,2.0,12.8,0,0
Ben Simmons,28.0,LAC,Guard-Forward,51,22.0,2.3,4.4,0.52,0.0,0.0,0.0,0.5,0.6,0.727,0.9,3.8,4.7,5.6,0.7,0.5,2.0,5.0,2.1,20.7,1,0
Bennedict Mathurin,23.0,IND,Guard-Forward,72,29.9,5.4,11.8,0.458,1.4,4.0,0.34,3.8,4.6,0.831,1.2,4.1,5.3,1.9,0.7,0.3,1.9,16.1,2.2,26.4,8,0
Bilal Coulibaly,20.0,WAS,Guard,59,33.0,4.5,10.6,0.421,1.1,3.8,0.281,2.3,3.1,0.746,1.5,3.4,5.0,3.4,1.3,0.7,2.1,12.3,2.4,27.3,3,1
Bismack Biyombo,32.0,SAS,Center,28,18.8,2.4,4.1,0.588,0.0,0.0,0.0,0.4,0.9,0.4,1.5,4.1,5.6,1.1,0.6,0.8,1.0,5.1,1.9,16.8,3,0
Blake Wesley,22.0,SAS,Guard,58,11.8,1.4,3.2,0.435,0.3,1.0,0.293,0.7,1.1,0.623,0.3,0.8,1.1,2.0,0.6,0.1,0.9,3.7,0.8,9.2,0,0
Bobby Portis,30.0,MIL,Forward,49,25.4,5.7,12.1,0.466,1.3,3.6,0.365,1.2,1.5,0.836,1.8,6.6,8.4,2.1,0.7,0.5,1.2,13.9,1.9,29.7,11,0
Bobi Klintman,22.0,DET,Forward,8,5.3,0.8,1.2,0.6,0.2,0.6,0.4,0.1,0.2,0.5,0.1,0.8,0.9,0.9,0.2,0.1,0.1,1.9,1.0,5.2,0,0
Bogdan Bogdanović,32.0,LAC,Guard,54,25.0,3.9,9.1,0.427,1.9,5.4,0.363,1.1,1.2,0.879,0.4,2.5,2.9,2.7,0.8,0.2,1.4,10.8,2.4,19.9,1,0
Bol Bol,25.0,PHX,Center-Forward,36,12.5,2.7,5.1,0.525,0.9,2.6,0.344,0.6,0.7,0.769,0.6,2.3,2.9,0.6,0.2,0.7,0.6,6.8,0.6,13.4,1,0
Bones Hyland,24.0,MIN,Guard,24,9.9,2.0,4.9,0.398,1.3,3.4,0.39,1.0,1.1,0.885,0.2,0.8,1.0,1.3,0.8,0.2,1.0,6.2,1.2,11.2,0,0
Bradley Beal,32.0,PHX,Guard,53,32.1,6.5,13.1,0.497,1.9,5.0,0.386,2.1,2.6,0.803,0.6,2.7,3.3,3.7,1.1,0.5,1.9,17.0,2.6,29.5,1,0
Branden Carlson,26.0,OKC,Center,32,7.7,1.3,3.0,0.443,0.7,2.1,0.333,0.4,0.6,0.778,0.5,1.2,1.7,0.4,0.2,0.7,0.2,3.8,0.7,8.7,1,0
Brandin Podziemski,22.0,GSW,Guard,64,26.8,4.4,9.8,0.445,1.8,4.8,0.372,1.1,1.5,0.758,1.0,4.1,5.1,3.4,1.1,0.2,1.2,11.7,1.5,25.6,2,0
Brandon Boston,23.0,NOP,Guard,42,23.6,4.0,9.1,0.436,1.2,3.3,0.35,1.6,2.0,0.788,0.7,2.5,3.2,2.2,1.3,0.2,1.2,10.7,1.7,21.0,0,0
Brandon Clarke,28.0,MEM,Forward,64,18.9,3.7,5.9,0.621,0.0,0.3,0.059,1.0,1.4,0.701,2.0,3.1,5.1,1.0,0.8,0.6,0.6,8.3,2.3,19.5,2,0
Brandon Ingram,27.0,TOR,Forward,18,33.1,8.6,18.5,0.465,2.4,6.4,0.374,2.6,3.1,0.855,0.9,4.6,5.6,5.2,0.9,0.6,3.8,22.2,2.5,37.3,0,0
Brandon Miller,22.0,CHA,Forward,27,34.2,7.3,18.2,0.403,3.9,10.9,0.355,2.5,2.9,0.861,0.9,3.9,4.9,3.6,1.1,0.7,2.8,21.0,2.7,34.9,2,0
Brandon Williams,25.0,DAL,Guard,33,14.8,3.0,5.7,0.521,0.7,1.8,0.4,1.7,2.0,0.833,0.4,1.4,1.8,2.3,0.7,0.2,1.2,8.3,1.0,15.4,0,0
Braxton Key,28.0,GSW,Forward,3,3.6,0.0,1.3,0.0,0.0,0.3,0.0,1.0,2.0,0.5,0.3,0.3,0.7,0.0,0.7,0.0,0.3,1.0,0.0,3.5,0,0
Brice Sensabaugh,21.0,UTA,Forward,71,20.2,3.9,8.4,0.459,2.2,5.2,0.422,0.9,1.0,0.89,0.6,2.4,3.0,1.5,0.6,0.1,1.5,10.9,1.6,17.5,0,0
Bronny James,20.0,LAL,Guard,27,6.7,0.8,2.5,0.313,0.3,1.2,0.281,0.4,0.5,0.786,0.1,0.5,0.7,0.8,0.3,0.1,0.5,2.3,0.5,5.2,0,0
Brook Lopez,37.0,MIL,Center,80,31.8,4.9,9.7,0.509,1.7,4.7,0.373,1.4,1.7,0.826,1.4,3.6,5.0,1.8,0.6,1.8,1.0,13.0,2.1,28.1,4,0
Bruce Brown,28.0,NOP,Guard-Forward,41,22.5,3.2,7.5,0.421,0.7,2.0,0.333,1.3,1.6,0.815,1.0,3.0,4.0,2.0,0.8,0.2,1.0,8.3,1.7,18.4,0,0
Bruno Fernando,26.0,TOR,Forward-Center,17,8.6,1.5,2.9,0.531,0.0,0.0,0.0,0.4,0.5,0.75,1.2,1.8,3.0,1.1,0.2,0.5,0.8,3.4,1.6,10.1,0,0
Bryce McGowens,22.0,POR,Guard,13,2.5,0.3,1.1,0.286,0.0,0.3,0.0,0.4,0.5,0.833,0.2,0.1,0.2,0.2,0.1,0.0,0.3,1.0,0.2,1.4,0,0
Bub Carrington,19.0,WAS,Guard,82,30.0,3.7,9.1,0.401,1.7,5.0,0.339,0.8,1.0,0.812,0.4,3.8,4.2,4.4,0.7,0.3,1.7,9.8,2.3,22.5,5,0
Buddy Hield,32.0,GSW,Guard,82,22.7,4.0,9.6,0.417,2.5,6.7,0.37,0.6,0.8,0.828,0.6,2.6,3.2,1.6,0.8,0.3,1.1,11.1,1.6,19.7,0,0
CJ McCollum,33.0,NOP,Guard,56,32.7,7.9,17.9,0.444,3.1,8.2,0.373,2.2,3.1,0.717,0.8,3.0,3.8,4.1,0.8,0.4,1.9,21.1,2.2,33.6,0,0
Cade Cunningham,23.0,DET,Guard,70,35.0,9.8,20.8,0.469,2.1,6.0,0.356,4.5,5.3,0.846,0.8,5.3,6.1,9.1,1.0,0.8,4.4,26.1,2.8,48.0,31,9
Caleb Houstan,22.0,ORL,Guard,58,13.6,1.4,3.3,0.421,1.1,2.8,0.4,0.3,0.3,0.882,0.3,1.0,1.3,0.6,0.4,0.1,0.2,4.1,1.1,7.8,0,0
